restaurant_id,restaurant_name,address,image_path_02
93,Thương Thương - Lươn Xứ Nghệ,"121 Bàu Cát, P. 14, Quận Tân Bình, TP. HCM",images/banh_mi_mu_rom__pham_van_hai_108.jpg
94,Bánh Mì Bà Huynh - Cống Quỳnh,"185k Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",images/banh_mi_mu_rom__pham_van_hai_113.jpg
95,Mì Cay Sasin - 1131 Nguyễn Ảnh Thủ,"1131 Nguyễn Ảnh Thủ, P. Trung Mỹ Tây, Quận 12, TP. HCM",images/banh_mi_nuong_muoi_ot_co_nam__uong_3_thang_2_255.jpg
96,Đào Nguyên - Cafe Sân Thượng,"101 Quang Trung, Quận Gò Vấp, TP. HCM",images/banh_mi_que_phap__nguyen_van_cu_613.jpg
97,Cơm Tấm Dì Kim - Lê Đức Thọ,"321 Lê Đức Thọ, P. 17, Quận Gò Vấp, TP. HCM",images/banh_mi_que_phap__thich_quang_uc_628.jpg
98,Suizan - Udon - Saigon Center,"Tầng Hầm B2 (B208) Saigon Center, 92 - 94 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Quận 1, TP. HCM",images/banh_sau_rieng_9_sach__le_van_tho_738.jpg
99,Fresh29 - Nem Nướng Nha Trang & Trà Chanh Nha Đam,"30 Nguyễn Hậu, P. Tân Thành, Quận Tân Phú, TP. HCM",images/banh_su_que__le_hong_phong_61.jpg
100,Tsukimi Sushi,"24 Tô Ngọc Vân, P. Linh Tây, Tp. Thủ Đức, TP. HCM",images/banh_su_que__le_hong_phong_66.jpg
101,Rena Cafe - An Phú,"Đường Số 10B, Quận 2, TP. HCM",images/banh_tam_tep_can_tho_633.jpg
102,Ốc Bắc,"351 Nguyễn Thượng Hiền, P. 11, Quận 10, TP. HCM",images/banh_tieu_ba_huyen_thanh_quan_679.jpg
103,DONA - Bún Chả & Bò Kho - 59 Hoa Sứ,"59 Hoa Sứ, P. 7, Quận Phú Nhuận, TP. HCM",images/banh_trang_237__tran_van_ang_366.jpg
